DATE,USDNOK,USDSEK,USDMXN,USDBRL,USDZAR,USDINR,USDKRW,USDTHB,USDSGD,USDCNH,USDJPY,USDCAD,USDCHF,USDEUR,USDGBP,USDAUD,USDNZD
2015-10-05,8.4044,8.3391,16.699,3.8924,13.5725,65.12,1158.54,36.28,1.4194,6.3559,120.36,1.3084,0.9746,0.8928571428571428,0.6594131223211342,1.4108352144469527,1.5372790161414298
2015-10-06,8.2927,8.2362,16.682,3.8406,13.5185,65.18,1160.7,36.24,1.4213,6.3559,120.18,1.3056,0.9678,0.8876264867743653,0.6567281802062127,1.3999720005599887,1.5299877600979193
2015-10-07,8.2099,8.2421,16.5735,3.8123,13.397,64.86,1153.72,35.82,1.4094,6.3559,119.9,1.3038,0.9716,0.8889679082585119,0.652954619653934,1.3863856924996534,1.5098897780462026
2015-10-08,8.1419,8.2338,16.5015,3.8295,13.373,64.97,1155.57,35.86,1.4093,6.3529,119.94,1.3017,0.9674,0.8863676653075695,0.6529119874640898,1.3840830449826989,1.5055706112616682
2015-10-09,8.0783,8.183,16.4125,3.7339,13.3155,64.76,1145.67,35.51,1.3943,6.345,120.3,1.2945,0.9615,0.8800492827598345,0.652954619653934,1.3646288209606987,1.4925373134328357
2015-10-12,8.1299,8.1333,16.568,3.8314,13.437,65.06,1147.42,35.59,1.4009,6.3417,119.8,1.2984,0.9594,0.8785802143735723,0.6560818790185015,1.373060551970342,1.4949917775452235
2015-10-13,8.1299,8.1333,16.568,3.8314,13.437,65.06,1147.42,35.59,1.4009,6.3417,119.8,1.2984,0.9594,0.8785802143735723,0.6560818790185015,1.373060551970342,1.4949917775452235
2015-10-14,8.0997,8.1341,16.5715,3.8366,13.3305,64.87,1140.39,35.39,1.3837,6.3462,119.21,1.2983,0.9517,0.8743551630672379,0.6474587245063127,1.3781697905181918,1.4777597162701346
2015-10-15,8.1041,8.2285,16.428,3.842,13.0785,64.77,1120.9,35.14,1.3783,6.3459,118.26,1.2901,0.9489,0.8758101243650377,0.6462035541195477,1.366867140513942,1.4590020426028596
2015-10-16,8.099,8.2217,16.382,3.8527,13.108,64.7,1130.73,35.26,1.3842,6.3523,119.6,1.2932,0.9536,0.8802816901408451,0.6476264490641798,1.3772207684891888,1.4708045300779526
2015-10-19,8.1211,8.3185,16.5225,3.9005,13.2755,64.9,1130.57,35.44,1.387,6.3591,119.5,1.2999,0.956,0.88339222614841,0.646370628918622,1.3785497656465397,1.4697236919459142
2015-10-20,8.1136,8.2819,16.5715,3.8845,13.2565,64.97,1128.64,35.42,1.3901,6.348,119.79,1.2974,0.954,0.8803591865481117,0.6464124111182935,1.3781697905181918,1.4803849000740192
2015-10-21,8.1741,8.3194,16.665,3.9514,13.4925,65.19,1137.09,35.66,1.3939,6.3487,119.91,1.3117,0.957,0.881445570736007,0.6467050378322448,1.383891502906172,1.485001485001485
2015-10-22,8.2819,8.4394,16.5135,3.9249,13.4225,64.91,1131.48,35.55,1.3943,6.3577,120.5,1.3087,0.971,0.8976660682226211,0.649392817715436,1.3850415512465375,1.4725371815638344
2015-10-23,8.3982,8.5092,16.538,3.8964,13.655,64.87,1135.0,35.57,1.397,6.3488,121.2,1.3171,0.9769,0.907770515613653,0.651890482398957,1.386001386001386,1.4812620352540364
2015-10-26,8.3314,8.4997,16.49,3.8788,13.6025,64.83,1127.47,35.42,1.3914,6.3517,120.87,1.3134,0.9815,0.904895484571532,0.6509992839007877,1.3770311209033326,1.4718869590815424
2015-10-27,8.4384,8.4935,16.5525,3.9002,13.6605,65.03,1134.57,35.49,1.395,6.3517,120.29,1.3242,0.9848,0.9048136083966704,0.6530825496342738,1.3825521913452232,1.4701558365186709
2015-10-28,8.448,8.4173,16.444,3.8594,13.5495,64.89,1130.31,35.38,1.3927,6.3581,120.56,1.3149,0.9848,0.9036688957166095,0.6527841242900972,1.3999720005599887,1.4878738282993602
2015-10-29,8.5706,8.5536,16.6155,3.8971,13.8335,65.35,1142.39,35.68,1.4043,6.3552,121.14,1.3169,0.9915,0.9121590805436468,0.653765690376569,1.4122299110295158,1.497005988023952
2015-10-30,8.4643,8.4922,16.53,3.8439,13.8135,65.4,1140.5,35.62,1.4005,6.318,120.7,1.3082,0.9858,0.9056330374932077,0.6474587245063127,1.401934669844385,1.4779781259237363
2015-11-02,8.4759,8.5079,16.471,3.8503,13.7865,65.58,1140.5,35.62,1.4009,6.318,120.7,1.3093,0.9853,0.9069472156720478,0.6481721545242417,1.400364094664613,1.4825796886582654
2015-11-03,8.5199,8.5526,16.373,3.7578,13.795,65.57,1140.5,35.62,1.3993,6.318,121.2,1.3107,0.9922,0.913575735428467,0.6491820306413919,1.3941168269901016,1.4979029358897544
2015-11-04,8.6318,8.6296,16.5245,3.7946,13.9655,65.46,1136.45,35.52,1.4033,6.3357,121.52,1.3164,0.9933,0.9207255317189945,0.6503219093451258,1.3989927252378287,1.518141794443601
2015-11-05,8.557,8.6473,16.5815,3.7809,13.9005,65.85,1140.5,35.62,1.407,6.318,121.71,1.3162,0.9964,0.9200478424878094,0.6563402467839328,1.3989927252378287,1.508978421608571
2015-11-06,8.652,8.7203,16.843,3.8055,14.186,66.13,1140.5,35.62,1.42,6.318,123.2,1.3307,1.0048,0.9305788200260562,0.6635259770420011,1.4216661927779357,1.5363343063450605
2015-11-09,8.6491,8.6731,16.854,3.7855,14.305,66.38,1160.42,35.9,1.4218,6.3619,123.04,1.3274,1.0017,0.9287638153617536,0.6612007405448295,1.419244961680386,1.529753709652746
2015-11-10,8.651,8.7134,16.7625,3.7978,14.2645,66.19,1158.34,35.86,1.4222,6.3603,123.22,1.3258,1.0076,0.9358038555118847,0.6618133686300464,1.4224751066856332,1.5304560759106214
2015-11-11,8.6878,8.6459,16.732,3.7898,14.2725,66.04,1158.6,35.86,1.4191,6.369,122.84,1.3309,1.0014,0.9286775631500743,0.6576351440220966,1.405283867341203,1.531628120692296
2015-11-12,8.6878,8.6459,16.732,3.7898,14.2725,66.04,1158.6,35.86,1.4191,6.369,122.84,1.3309,1.0014,0.9286775631500743,0.6576351440220966,1.405283867341203,1.531628120692296
2015-11-13,8.7066,8.7153,16.6965,3.8235,14.3825,66.12,1169.79,35.94,1.424,6.3735,122.93,1.3332,1.0088,0.9326618168252191,0.6575486586007365,1.4048890137679124,1.531862745098039
2015-11-16,8.6829,8.6957,16.8145,3.846,14.386,66.01,1172.67,35.96,1.4224,6.37,123.11,1.3352,1.0079,0.9338812103100486,0.6577216521967904,1.4114326040931544,1.5413070283600492
2015-11-17,8.6823,8.7633,16.77,3.8123,14.286,65.96,1169.08,35.99,1.4231,6.3771,123.48,1.3324,1.0169,0.940379913485048,0.6572893387669252,1.4054813773717498,1.5482272797646695
2015-11-18,8.7105,8.7423,16.7655,3.7914,14.2005,66.16,1167.89,35.98,1.424,6.3834,123.51,1.3351,1.0198,0.9400263207369806,0.6574621959237344,1.4128284826222097,1.5527950310559007
2015-11-19,8.5877,8.6537,16.57,3.7365,14.0085,66.05,1156.08,35.74,1.4129,6.3825,122.71,1.3266,1.014,0.9305788200260562,0.6524434005350036,1.3873473917869035,1.519756838905775
2015-11-20,8.6196,8.6929,16.508,3.7048,13.9355,66.06,1151.63,35.71,1.413,6.3835,122.8,1.3337,1.0183,0.9380863039399624,0.6579380222383051,1.3825521913452232,1.5248551387618174
2015-11-23,8.664,8.7369,16.524,3.7239,14.083,66.37,1159.14,35.83,1.4186,6.389,123.02,1.3358,1.0205,0.9432182607055273,0.6611570247933884,1.391207568169171,1.5358623867301489
2015-11-24,8.6468,8.7009,16.457,3.7064,13.9835,66.32,1149.39,35.75,1.4116,6.3883,122.47,1.3308,1.0161,0.938790837401427,0.6641429235571494,1.3810247203424941,1.529051987767584
2015-11-25,8.6489,8.7349,16.545,3.7508,14.144,66.36,1140.67,35.64,1.4047,6.3877,122.7,1.3298,1.022,0.9419743782969102,0.6618571712224502,1.380071763731714,1.5213753232922562
2015-11-26,8.6917,8.7292,16.5885,3.7736,14.388,66.86,1154.43,35.88,1.4135,6.3945,122.84,1.336,1.0305,0.9437523593808984,0.6648936170212766,1.3904338153503895,1.5299877600979193
2015-11-27,8.6917,8.7292,16.5885,3.7736,14.388,66.86,1154.43,35.88,1.4135,6.3945,122.84,1.336,1.0305,0.9437523593808984,0.6648936170212766,1.3904338153503895,1.5299877600979193
2015-11-30,8.6838,8.7206,16.6005,3.8982,14.48,66.43,1149.39,35.75,1.4095,6.3883,123.22,1.3332,1.0282,0.946790380609733,0.6647168306301515,1.38217000691085,1.52114390021296
2015-12-01,8.6434,8.6974,16.5305,3.8491,14.4325,66.46,1149.39,35.75,1.4071,6.3883,122.88,1.3372,1.0296,0.9416195856873822,0.6633939233116625,1.366120218579235,1.4972301242701003
2015-12-02,8.6591,8.7069,16.588,3.8633,14.375,66.53,1149.39,35.75,1.4122,6.3883,123.52,1.3357,1.0274,0.9458053532582995,0.6699269779594025,1.3681762210972774,1.508523155830442
2015-12-03,8.4994,8.4958,16.718,3.7762,14.37,66.82,1149.39,35.75,1.3982,6.3883,123.06,1.3393,0.9996,0.91726288754357,0.662778366914104,1.3679890560875514,1.5076134479119554
2015-12-04,8.5194,8.4837,16.6555,3.7426,14.3255,66.65,1149.39,35.75,1.3957,6.3883,123.1,1.3364,0.9986,0.9187798603454612,0.6622516556291391,1.361285053090117,1.4803849000740192
2015-12-07,8.6566,8.5384,16.9,3.7595,14.5425,66.74,1172.68,35.89,1.4046,6.4081,123.31,1.3508,1.0026,0.9225092250922509,0.6633059166887768,1.3758943313153549,1.5042117930204575
2015-12-08,8.7939,8.5168,17.0245,3.8032,14.6,66.77,1179.6,35.94,1.4087,6.4162,123.0,1.3594,0.994,0.9194556822361163,0.6666666666666666,1.3867702121758425,1.5069318866787222
2015-12-09,8.7036,8.4267,17.0505,3.7264,14.5775,66.83,1181.75,35.92,1.4048,6.427,121.86,1.3595,0.9866,0.9104151493080844,0.6592827004219409,1.3881177123820099,1.508523155830442
2015-12-10,8.6285,8.4927,17.0945,3.7787,15.2519,66.7,1176.39,36.03,1.4011,6.4363,121.44,1.3598,0.9888,0.9134088417975886,0.6589351607801792,1.3700506918755995,1.478633742422002
2015-12-11,8.6778,8.4816,17.357,3.8791,15.751,67.1,1188.0,36.15,1.412,6.4538,120.94,1.3695,0.9828,0.9089256498818397,0.6573325445342798,1.386193512614361,1.4865467518953472
2015-12-14,8.6619,8.4753,17.358,3.8972,15.1465,67.09,1186.2,36.09,1.4074,6.4588,120.57,1.3732,0.9823,0.9070294784580498,0.6609385327164574,1.3777900248002204,1.475361463558572
2015-12-15,8.7022,8.5023,17.149,3.9,14.9815,66.79,1176.66,36.01,1.4088,6.46,121.66,1.3729,0.9921,0.9165062780680048,0.6647168306301515,1.3935340022296543,1.4819205690574986
2015-12-16,8.7458,8.5222,17.18,3.9421,15.0725,66.6,1177.19,35.97,1.4091,6.4723,121.88,1.3805,0.9852,0.9143275121148396,0.6660893891960301,1.3875398917718884,1.4766686355581806
2015-12-17,8.7615,8.564,17.119,3.9053,15.206,66.32,1187.7,36.17,1.4217,6.4822,122.75,1.397,0.9987,0.9255831173639393,0.6722237160527024,1.4084507042253522,1.4943215780035863
2015-12-18,8.7488,8.5602,16.993,3.9336,15.0435,66.23,1178.04,36.08,1.4115,6.48,121.2,1.3876,0.994,0.9219138932423712,0.670510929328148,1.3894678338196471,1.481042654028436
2015-12-21,8.7639,8.5092,17.164,4.0231,15.1045,66.19,1173.87,36.15,1.4076,6.4793,120.99,1.3989,0.9912,0.9157509157509157,0.670870790285791,1.3943112102621307,1.4773230905599055
2015-12-22,8.697,8.4113,17.1855,3.998,15.1855,66.19,1169.26,36.08,1.4037,6.4778,120.94,1.3929,0.9866,0.9109127345600291,0.6751738572682465,1.3829345871940257,1.467997651203758
2015-12-23,8.7346,8.4626,17.1865,3.9672,15.1845,66.04,1140.67,36.06,1.4065,6.4763,120.94,1.386,0.9938,0.9195402298850576,0.672811680010765,1.3848497438027976,1.4729709824716455
2015-12-24,8.6763,8.4008,17.276,3.9358,15.274,66.0,1167.94,36.03,1.4047,6.4758,120.32,1.3847,0.9872,0.9128251939753538,0.6692096633875393,1.3757050488375293,1.4624159110851127
2015-12-25,8.6758,8.3622,17.261,3.859,15.2935,66.09,1169.26,36.08,1.4079,6.4778,120.3,1.3893,0.9878,0.9104980424292087,0.6719075455217363,1.3770311209033326,1.4592149423610097
2015-12-28,8.6758,8.3622,17.261,3.859,15.2935,66.09,1169.26,36.08,1.4079,6.4778,120.3,1.3893,0.9878,0.9104980424292087,0.6719075455217363,1.3770311209033326,1.4592149423610097
2015-12-29,8.7186,8.3774,17.2065,3.8917,15.2885,66.28,1169.26,36.08,1.4124,6.4778,120.44,1.3848,0.9924,0.9160864785635765,0.675949709341625,1.3711778417660772,1.4551804423748544
2015-12-30,8.8137,8.4275,17.339,3.988,15.5795,66.44,1177.53,36.05,1.4152,6.4896,120.6,1.3883,0.989,0.9164222873900294,0.674217907227616,1.372872048325096,1.4626298083954952
2015-12-31,8.8542,8.4485,17.195,3.9593,15.466,66.19,1169.26,36.08,1.4166,6.4778,120.27,1.3839,1.0017,0.9208951100469656,0.6781500067815001,1.372495196266813,1.4615609470914936
2016-01-01,8.9246,8.5057,17.36,4.0613,15.615,66.56,1191.46,36.15,1.4264,6.5338,119.3,1.397,1.0042,0.9256687957048968,0.6809206046574969,1.3954786491766675,1.4836795252225519
2016-01-04,8.9246,8.5057,17.36,4.0613,15.615,66.56,1191.46,36.15,1.4264,6.5338,119.3,1.397,1.0042,0.9256687957048968,0.6809206046574969,1.3954786491766675,1.4836795252225519
2016-01-05,8.9165,8.5987,17.3595,4.0108,15.626,66.49,1190.43,36.12,1.4279,6.5219,118.95,1.3991,1.0096,0.9308386856557759,0.6819421713038735,1.3984058173682004,1.4925373134328357
2016-01-06,8.9668,8.6024,17.436,4.0163,15.7855,66.71,1200.16,36.23,1.4356,6.5554,118.54,1.4084,1.0084,0.929195316855603,0.6837139340899768,1.4144271570014144,1.5055706112616682
2016-01-07,8.919,8.5106,17.6525,4.0504,15.974,66.73,1193.05,36.21,1.4306,6.5926,118.0,1.4061,1.0018,0.9208103130755064,0.6859181013786954,1.4234875444839858,1.5030813166992334
2016-01-08,8.9045,8.5287,17.9145,4.048,16.18,66.82,1206.97,36.32,1.4414,6.5932,117.74,1.415,0.9972,0.9186954524575103,0.6885629690835228,1.43348623853211,1.5246226558926665
2016-01-11,8.9399,8.5253,17.956,4.0464,16.8025,66.78,1206.55,36.29,1.4352,6.5675,117.48,1.4203,1.0,0.9192866335723477,0.6866245536940402,1.4302059496567505,1.5257857796765335
2016-01-12,8.9039,8.5535,17.923,4.0454,16.7125,66.85,1208.95,36.33,1.4381,6.57,117.78,1.4293,1.003,0.9227646027498384,0.6942997986530585,1.4336917562724014,1.5330369461904032
2016-01-13,8.8019,8.5165,17.8595,3.9893,16.3905,66.74,1208.95,36.33,1.4338,6.57,118.06,1.4294,1.0064,0.9206407659731173,0.691085003455425,1.429388221841052,1.5246226558926665
2016-01-14,8.7635,8.5348,17.893,4.0032,16.4305,67.37,1211.28,36.33,1.4372,6.5891,118.03,1.4374,1.0072,0.9206407659731173,0.6940106877645915,1.4326647564469914,1.5455950540958268
2016-01-15,8.8195,8.5512,18.2475,4.048,16.8125,67.74,1216.95,36.33,1.4403,6.584,116.78,1.4531,0.9984,0.9120758847136081,0.699839037021485,1.456876456876457,1.5549681231534753
2016-01-18,8.7946,8.5477,18.1845,4.042,16.693,67.68,1205.61,36.29,1.4359,6.5783,117.66,1.4513,1.0032,0.9169264624977077,0.7056665020111496,1.4432096983691731,1.5410695022345506
2016-01-19,8.7946,8.5477,18.1845,4.042,16.693,67.68,1205.61,36.29,1.4359,6.5783,117.66,1.4513,1.0032,0.9169264624977077,0.7056665020111496,1.4432096983691731,1.5410695022345506
2016-01-20,8.898,8.5825,18.5945,4.1103,16.8845,68.05,1215.4,36.29,1.4389,6.5781,116.38,1.4592,1.0032,0.9167583425009168,0.7058657443354274,1.4587892049598834,1.5651901706057285
2016-01-21,8.8153,8.5655,18.4655,4.1299,16.5125,67.87,1204.31,36.18,1.4347,6.5794,117.61,1.4244,1.0112,0.9231053263177329,0.704324552753909,1.4279594459517349,1.5332720024532351
2016-01-22,8.759,8.5754,18.45,4.1061,16.4625,67.55,1195.66,35.99,1.4277,6.5788,118.37,1.4153,1.0148,0.9247272054743851,0.6989097008666479,1.42571998859424,1.5424957581366652
2016-01-25,8.7447,8.5694,18.56,4.0887,16.451,67.71,1194.3,35.89,1.4279,6.579,118.55,1.4248,1.0148,0.9231905465288036,0.702000702000702,1.4347202295552368,1.544878727019929
2016-01-26,8.6972,8.5614,18.475,4.0701,16.3535,67.75,1199.64,35.83,1.4259,6.5814,118.5,1.4062,1.0189,0.9219988936013277,0.6972528238739367,1.4275517487508922,1.5403573629081948
2016-01-27,8.6589,8.5124,18.378,4.0557,16.3355,67.98,1199.25,35.77,1.4283,6.5773,118.9,1.404,1.0176,0.9202171712524155,0.701213098660683,1.413627367825841,1.532097441397273
2016-01-28,8.6332,8.5048,18.312,4.0979,16.1995,68.08,1204.08,35.78,1.427,6.5744,118.61,1.4077,1.0134,0.9130752373995618,0.6968155529231412,1.4114326040931544,1.543924656476764
2016-01-29,8.7071,8.5709,18.211,4.0364,15.9535,67.87,1210.04,35.67,1.4241,6.5752,121.05,1.4074,1.0226,0.9231905465288036,0.7050197405527354,1.4142271248762552,1.5458339774308238
2016-02-01,8.7104,8.5385,18.293,3.9866,15.948,67.92,1203.19,35.58,1.4239,6.5778,121.06,1.4005,1.0202,0.9184423218221895,0.6960395350455906,1.411631846414455,1.5356265356265357
2016-02-02,8.7184,8.5749,18.4895,3.9885,16.1835,67.92,1212.01,35.75,1.4269,6.5795,120.27,1.4039,1.0181,0.9167583425009168,0.6944926731022988,1.4168319637291018,1.5391719255040788
2016-02-03,8.6074,8.4745,18.393,3.9478,16.14,67.92,1211.33,35.77,1.4225,6.5765,117.92,1.3843,1.007,0.904895484571532,0.686059275521405,1.4017381553125876,1.5017269860339388
2016-02-04,8.482,8.3983,18.2255,3.8785,15.8305,67.57,1186.11,35.55,1.3953,6.5638,116.75,1.3724,0.9926,0.892936869363336,0.6858710562414266,1.3858093126385809,1.4861049190072817
2016-02-05,8.6002,8.4802,18.372,3.9101,15.9785,67.78,1204.69,35.56,1.4065,6.571,116.99,1.3875,0.9938,0.8983918785374181,0.6911805363560962,1.411631846414455,1.5108022359873092
2016-02-08,8.5956,8.4593,18.6485,3.8979,16.14,67.98,1205.1,35.51,1.4027,6.571,115.7,1.3921,0.9885,0.8952551477170994,0.693721817551162,1.4078558355624384,1.5067048365225253
2016-02-09,8.5929,8.4061,18.8627,3.8863,16.0532,67.92,1200.39,35.39,1.397,6.571,114.8,1.386,0.972,0.8849557522123894,0.6909417536101706,1.4154281670205238,1.5042117930204575
2016-02-10,8.5613,8.4612,18.847,3.9366,15.8555,67.85,1189.69,35.31,1.3943,6.571,114.03,1.3969,0.9779,0.8911067545891997,0.6909417536101706,1.4106361969248131,1.5026296018031555
2016-02-11,8.5465,8.344,19.1925,3.9704,15.82,68.44,1196.89,35.22,1.3881,6.571,111.72,1.3933,0.9706,0.880126738250308,0.6921373200442967,1.4092446448703495,1.4965579167913798
2016-02-12,8.5917,8.4337,19.004,3.9764,15.825,68.12,1205.13,35.59,1.3961,6.571,112.96,1.3834,0.9768,0.8900756564307967,0.6915629322268326,1.4088475626937165,1.5087507543753773
2016-02-15,8.6203,8.4959,18.789,4.0564,15.705,68.48,1219.44,35.65,1.4054,6.5154,113.9,1.3857,0.9884,0.8976660682226211,0.6997900629811057,1.4078558355624384,1.5232292460015233
2016-02-16,8.6203,8.4959,18.789,4.0564,15.705,68.48,1219.44,35.65,1.4054,6.5154,113.9,1.3857,0.9884,0.8976660682226211,0.6997900629811057,1.4078558355624384,1.5232292460015233
2016-02-17,8.5696,8.5104,18.275,3.9856,15.47,68.33,1222.32,35.6,1.4053,6.527,114.14,1.3682,0.9926,0.8976660682226211,0.6984703499336453,1.3950892857142858,1.5087507543753773
2016-02-18,8.5961,8.4758,18.1705,4.0191,15.37,68.54,1231.15,35.58,1.4043,6.5163,113.62,1.3718,0.994,0.9015506671474938,0.6976906439684644,1.3986013986013988,1.5092061575611229
2016-02-19,8.5654,8.4426,18.272,4.0428,15.4095,68.54,1231.09,35.73,1.4056,6.5202,112.42,1.3798,0.9893,0.8987148377819718,0.6972042111134352,1.4035087719298245,1.5117157974300832
2016-02-22,8.5997,8.5023,18.019,3.933,15.183,68.53,1223.32,35.73,1.3995,6.5197,113.12,1.3684,0.9986,0.907605736068252,0.7063643427279791,1.3815971262779774,1.488095238095238
